Brand,Country,Delivered.to.Client.Date,Delivery.Recorded.Date,Dosage,Dosage Form,Fulfill.Via,ID,Item.Description,Manufacturing.Site.Split,Po / So #,PO.Sent.to.Vendor.Date,PO.Sent.to.Vendor.Date (group),Pq #,PQ.First.Sent.to.Client.Date,PQ.First.Sent.to.Client.Date (group),PQ.First.Sent.to.Client.Date(group),Product.Group,Scheduled.Delivery.Date,Shipment.Mode,Sub.Classification,Vendor.INCO.Term,Vendor.Split,Freight.Cost (USD),Item.Throughput,Line.Item. Quantity,Line.Item.Insurance (USD),Line.Item.Value,Pack.Price,Unit.of.Measure (Per Pack),Unit.Price,Weight (Kilograms)
Videx EC,Tanzania,2/09/2008,2/09/2008,400mg,Delayed.release.capsules.blister,Direct Drop,58,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",BMS,SCMS-23610,5/15/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,2/09/2008,Air,Adult,CIP,BRISTOL,645.1,86.566666667,2597,98.35,61470.99,23.67,30,0.79,117
Generic,Vietnam,19/09/2008,19/09/2008,150mg,Tablet,Direct Drop,62,"Lamivudine 150mg, tablets, 60 Tabs",Aurobindo,SCMS-26180,7/1/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,19/09/2008,Air,Adult,EXW,Aurobindo,18614.72,644,38640,148.38,92736,2.4,60,0.04,2719
Coartem,Nigeria,9/09/2008,9/09/2008,20/120mg,Tablet.FDC.blister,Direct Drop,63,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Novartis,SCMS-26560,7/2/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ACT,25/02/2009,Air,ACT,EXW,IDA,1755.87,0.062962963,34,2.48,1547.68,45.52,540,0.08,115
Generic,Vietnam,8/10/2008,8/10/2008,30mg,Capsule,Direct Drop,64,"Stavudine 30mg, capsules, 60 Caps",Aurobindo,SCMS-26200,7/3/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,8/10/2008,Air,Adult,EXW,Aurobindo,10179.16,700,42000,97.44,60900,1.45,60,0.02,2600
Generic,Vietnam,27/11/2008,27/11/2008,600mg,Tablet,Direct Drop,66,"Efavirenz 600mg, tablets, 30 Tabs",Mylan,SCMS-27360,7/24/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,27/11/2008,Air,Adult,EXW,MYLAN,4686.88,560,16800,335.54,171192,10.19,30,0.34,1224
Generic,Côte d'Ivoire,23/01/2009,23/01/2009,50+153mg,Tablet.FDC.co-blister,Direct Drop,71,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Ipca,SCMS-29340,9/3/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ACT,23/01/2009,Air,ACT,EXW,IDA,12830.91,2083.333333333,25000,19.11,9750,0.39,12,0.03,1708
Atripla,Tanzania,21/04/2009,21/04/2009,600/200/300mg,Tablet.FDC,Direct Drop,82,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",MSD,SCMS-34680,12/19/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,21/04/2009,Air,Adult,CIP,MERCK,9339,1666.666666667,50000,4939.2,2520000,50.4,30,1.68,4093
Generic,Côte d'Ivoire,2/03/2009,2/03/2009,600mg/2ml,Injection,Direct Drop,83,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",Gland,SCMS-35790,12/19/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ANTM,2/03/2009,Air,Malaria,EXW,IDA,25405.22,1.4,140,5.35,2731.4,19.51,100,0.2,5209
Generic,Vietnam,10/04/2009,10/04/2009,150/300mg,Tablet.FDC,Direct Drop,85,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SCMS-37170,1/16/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,10/04/2009,Air,Adult,EXW,Aurobindo,12835.2,99.4,5964,100.65,51350.04,8.61,60,0.14,3509
Generic,Vietnam,23/03/2009,23/03/2009,150/200/30mg,Tablet.FDC,Direct Drop,87,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Cipla,SCMS-37180,1/16/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,23/03/2009,Air,Adult,EXW,CIPLA,4225.93,176,10560,142.81,72864,6.9,60,0.12,924
Generic,Vietnam,16/03/2009,16/03/2009,150/300mg,Tablet.FDC,Direct Drop,88,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SCMS-31721,10/21/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,16/03/2009,Air,Adult,EXW,Aurobindo,892.5,39.2,2352,39.69,20250.72,8.61,60,0.14,211
Kaletra,Tanzania,28/05/2009,28/05/2009,80/20mg/ml,Oral.solution,Direct Drop,89,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",ABBVIE,SCMS-38370,2/5/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,28/05/2009,Air,Pediatric,FCA,ABBVIE,6668.61,1.746666667,524,42.21,21536.4,41.1,300,0.14,644
Videx EC,Nigeria,30/09/2009,30/09/2009,400mg,Delayed.release.capsules.blister,Direct Drop,92,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",BMS,SCMS-39640,3/4/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,30/09/2009,Air,Adult,CIP,BRISTOL,463,6.666666667,200,9.28,4734,23.67,30,0.79,11
Videx,Haiti,31/03/2009,31/03/2009,50mg,Chewable.tablet,Direct Drop,93,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",BMS,SCMS-40000,3/6/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,31/03/2009,Air,Pediatric,CIP,BRISTOL,260,1.333333333,80,1.49,760,9.5,60,0.16,43
Generic,Haiti,15/04/2009,15/04/2009,100/25mg,Tablet,Direct Drop,95,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",ABBVIE,SCMS-40030,3/6/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,15/04/2009,Air,Pediatric,FCA,ABBVIE,893.22,0.766666667,46,0.93,472.88,10.28,60,0.17,10
Aluvia,Côte d'Ivoire,30/06/2009,30/06/2009,200/50mg,Tablet,Direct Drop,110,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SCMS-42210,3/30/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,30/06/2009,Air,Adult,FCA,ABBVIE,14806.48,85.333333333,10240,824.89,420864,41.1,120,0.34,2523
Norvir,Côte d'Ivoire,22/07/2009,22/07/2009,100mg,Capsule,Direct Drop,111,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",ABBVIE,SCMS-42230,3/30/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,22/07/2009,Air,Adult,FCA,ABBVIE,7642.97,1.190476190,400,30.07,15344,38.36,336,0.11,175
Generic,Rwanda,25/07/2009,25/07/2009,600mg,Tablet,Direct Drop,118,"Efavirenz 600mg, tablets, 30 Tabs",Hetero,SCMS-43890,4/15/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,25/07/2009,Air,Adult,CIP,HETERO,37404.74,1845.2,55356,757.31,386384.88,6.98,30,0.23,4482
Norvir,Vietnam,17/07/2009,17/07/2009,100mg,Capsule,Direct Drop,120,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",ABBVIE,SCMS-44990,4/29/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,17/07/2009,Air,Adult,FCA,ABBVIE,3366.04,0.023809524,8,1.2,613.76,76.72,336,0.23,48
Generic,Vietnam,10/07/2009,10/07/2009,150/300/200mg,Tablet.FDC,Direct Drop,121,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Aurobindo,SCMS-45080,4/29/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,10/07/2009,Air,Adult,EXW,Aurobindo,6341.88,58.333333333,3500,76.49,39025,11.15,60,0.19,1804
Videx,Vietnam,28/07/2009,28/07/2009,25mg,Chewable.tablet,Direct Drop,124,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",BMS,SCMS-46550,5/27/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,28/07/2009,Air,Pediatric,CIP,BRISTOL,14.36,6.666666667,400,5.49,2800,7,60,0.12,148
Generic,Vietnam,14/03/2007,14/03/2007,150/300mg,Tablet.FDC,Direct Drop,135,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Cipla,SCMS-169,11/15/2006,2006,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/03/2007,Air,Adult,EXW,CIPLA,18772.94,418.333333333,25100,45.57,276100,11,60,0.18,2575
Generic,Vietnam,14/03/2007,14/03/2007,30mg,Capsule,Direct Drop,136,"Stavudine 30mg, capsules, 60 Caps",Strides,SCMS-170,11/15/2006,2006,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/03/2007,Air,Adult,EXW,STRIDES,42453.21,1591.666666667,95500,45.57,144205,1.51,60,0.03,9170
Generic,Vietnam,12/05/2007,12/05/2007,150/200/30mg,Tablet.FDC,Direct Drop,139,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Cipla,SCMS-262,1/9/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,12/05/2007,Air,Adult,EXW,CIPLA,31858.09,1166.666666667,70000,45.57,525000,7.5,60,0.12,6813
Generic,Vietnam,24/08/2007,24/08/2007,150/200/30mg,Tablet.FDC,Direct Drop,143,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Cipla,SCMS-314,2/7/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,24/08/2007,Air,Adult,EXW,CIPLA,21439.59,416.666666667,25000,300,187500,7.5,60,0.12,2348
Generic,Vietnam,2/10/2007,2/10/2007,10mg/ml,Oral.suspension,Direct Drop,149,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Aurobindo,SCMS-749,7/3/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,2/10/2007,Air,Pediatric,EXW,Aurobindo,13762.41,4.166666667,1000,3.07,1920,1.92,240,0.01,960
Generic,Vietnam,15/10/2007,15/10/2007,150/300/200mg,Tablet.FDC,Direct Drop,152,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Aurobindo,SCMS-753,7/4/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,15/10/2007,Air,Adult,EXW,Aurobindo,4454.62,50,3000,64.8,40500,13.5,60,0.22,332
Generic,Vietnam,23/11/2007,23/11/2007,600mg,Tablet,Direct Drop,153,"Efavirenz 600mg, tablets, 30 Tabs",Aurobindo,SCMS-754,7/4/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,23/11/2007,Air,Adult,EXW,Aurobindo,16095.39,750,22500,443.88,277425,12.33,30,0.41,1955
Aluvia,Vietnam,27/08/2007,27/08/2007,200/50mg,Tablet,Direct Drop,154,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SCMS-757,7/3/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,27/08/2007,Air,Adult,FCA,ABBVIE,1767.38,4.166666667,500,65.75,41095,82.19,120,0.68,117
Viread,Rwanda,28/01/2008,28/01/2008,300mg,Tablet,Direct Drop,156,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Aspen-OSD,SCMS-13900,11/12/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,28/01/2008,Air,Adult,EXW,ASPEN,7922.24,53.633333333,1609,43.76,27353,17,30,0.57,157
Norvir,Vietnam,28/03/2008,28/03/2008,100mg,Capsule,Direct Drop,159,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",ABBVIE,SCMS-14170,11/21/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,28/03/2008,Air,Adult,FCA,ABBVIE,2535.4,0.297619048,100,29.33,18333,183.33,336,0.55,337
Generic,Rwanda,28/01/2008,28/01/2008,300mg,Tablet,Direct Drop,161,"Abacavir 300mg, tablets, 60 Tabs",Mylan,SCMS-14750,12/3/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,28/01/2008,Air,Adult,CIP,MYLAN,1511.25,18.316666667,1099,48.36,30222.5,27.5,60,0.46,113
Generic,Vietnam,1/02/2008,1/02/2008,20mg,Capsule,Direct Drop,162,"Stavudine 20mg, capsules, 60 Caps",Aurobindo,SCMS-14760,12/5/2007,2007,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,1/02/2008,Air,Adult,EXW,Aurobindo,2429.85,20,1200,3.36,2100,1.75,60,0.03,125
Generic,Vietnam,20/06/2008,20/06/2008,150mg,Tablet,Direct Drop,183,"Lamivudine 150mg, tablets, 60 Tabs",Aurobindo,SCMS-20180,3/31/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,7/07/2008,Air,Adult,EXW,Aurobindo,4159.45,168,10080,46.77,29232,2.9,60,0.05,507
Generic,Vietnam,1/06/2008,1/06/2008,600mg,Tablet,Direct Drop,184,"Efavirenz 600mg, tablets, 30 Tabs",Mylan,SCMS-20340,3/31/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,1/06/2008,Air,Adult,EXW,MYLAN,3796.05,224,6720,123.43,77145.6,11.48,30,0.38,522
Videx,Vietnam,3/10/2008,3/10/2008,25mg,Chewable.tablet,Direct Drop,190,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",BMS,SCMS-23370,5/13/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,3/10/2008,Air,Pediatric,CIP,BRISTOL,3013.09,6.666666667,400,4.48,2800,7,60,0.12,81
Generic,Vietnam,19/08/2008,19/08/2008,30mg,Capsule,Direct Drop,191,"Stavudine 30mg, capsules, 60 Caps",Strides,SCMS-23470,5/13/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,19/08/2008,Air,Adult,EXW,STRIDES,7575.6,179.666666667,10780,25.01,15631,1.45,60,0.02,502
Generic,Rwanda,22/07/2008,22/07/2008,150/300/200mg,Tablet.FDC,Direct Drop,198,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Aurobindo,SCMS-25520,6/13/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,23/07/2008,Air,Adult,CIP,Aurobindo,30408.04,797.983333333,47879,910.85,569281.31,11.89,60,0.2,5311
Generic,Rwanda,23/07/2008,23/07/2008,150/300/200mg,Tablet.FDC,Direct Drop,199,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Aurobindo,SCMS-25520,6/13/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,23/07/2008,Air,Adult,CIP,Aurobindo,38120.96,1017.016666667,61021,1160.86,725539.69,11.89,60,0.2,6768
Generic,Vietnam,3/10/2008,3/10/2008,30mg,Capsule,Direct Drop,201,"Stavudine 30mg, capsules, 60 Caps",Aurobindo,SCMS-26190,7/3/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,3/10/2008,Air,Adult,EXW,Aurobindo,5822.44,300.5,18030,41.83,26143.5,1.45,60,0.02,1114
Aluvia,Vietnam,2/12/2008,2/12/2008,200/50mg,Tablet,Direct Drop,210,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SCMS-27290,7/24/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,2/12/2008,Air,Adult,FCA,ABBVIE,2709.98,3.616666667,434,69.92,35674.8,82.2,120,0.68,113
Generic,Vietnam,24/11/2008,24/11/2008,150/300/200mg,Tablet.FDC,Direct Drop,211,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Aurobindo,SCMS-27310,7/24/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,24/11/2008,Air,Adult,EXW,Aurobindo,2568.6,18.333333333,1100,24.58,12540,11.4,60,0.19,159
Generic,Vietnam,25/11/2008,25/11/2008,600mg,Tablet,Direct Drop,212,"Efavirenz 600mg, tablets, 30 Tabs",Mylan,SCMS-27350,7/24/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,25/11/2008,Air,Adult,EXW,MYLAN,3247.73,280,8400,167.77,85596,10.19,30,0.34,613
Generic,Vietnam,3/12/2008,3/12/2008,150/200/30mg,Tablet.FDC,Direct Drop,213,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Cipla,SCMS-27380,7/24/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,3/12/2008,Air,Adult,EXW,CIPLA,2335.19,60.8,3648,51.84,26448,7.25,60,0.12,323
Generic,Vietnam,27/11/2008,27/11/2008,200mg,Tablet,Direct Drop,223,"Nevirapine 200mg, tablets, 60 Tabs",Aurobindo,SCMS-33070,11/3/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,27/11/2008,Air,Adult,EXW,Aurobindo,2653.27,100,6000,34.1,17400,2.9,60,0.05,581
Generic,Vietnam,7/04/2009,7/04/2009,150mg,Tablet,Direct Drop,232,"Lamivudine 150mg, tablets, 60 Tabs",Aurobindo,SCMS-37160,1/16/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,7/04/2009,Air,Adult,EXW,Aurobindo,9809.7,150,9000,42.34,21600,2.4,60,0.04,2228
Atripla,Nigeria,8/04/2009,8/04/2009,600/200/300mg,Tablet.FDC,Direct Drop,234,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",MSD,SCMS-37370,2/3/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,8/04/2009,Air,Adult,CIP,MERCK,7933.38,833.333333333,25000,2469.6,1260000,50.4,30,1.68,2067
Generic,Haiti,2/04/2009,2/04/2009,100mg,Capsule,Direct Drop,236,"Zidovudine 100mg, capsules, 100 Caps",Aurobindo,SCMS-39970,3/6/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,2/04/2009,Air,Pediatric,EXW,Aurobindo,1903.54,21,2100,20.58,10500,5,100,0.05,187
Videx EC,Uganda,4/05/2009,4/05/2009,250mg,Delayed.release.capsules.blister,Direct Drop,247,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",BMS,SCMS-41240,3/19/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,4/05/2009,Air,Adult,CIP,BRISTOL,428.91,2,60,2.16,1100.4,18.34,30,0.61,3000
Generic,Rwanda,20/04/2009,20/04/2009,150/300mg,Tablet.FDC,Direct Drop,251,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Cipla,SCMS-30312,10/21/2008,2008,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,20/04/2009,Air,Adult,CIP,CIPLA,853.88,130.666666667,7840,139.83,71344,9.1,60,0.15,719
Aluvia,Nigeria,20/05/2009,20/05/2009,200/50mg,Tablet,Direct Drop,258,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SCMS-42830,4/1/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,20/05/2009,Air,Adult,FCA,ABBVIE,1332.43,0.608333333,73,5.88,3000.3,41.1,120,0.34,69
Aluvia,Nigeria,14/07/2009,14/07/2009,200/50mg,Tablet,Direct Drop,261,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SCMS-36892,4/7/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/07/2009,Air,Adult,FCA,ABBVIE,3777.93,17,2040,164.33,83844,41.1,120,0.34,309
Generic,Rwanda,20/07/2009,20/07/2009,150/300/200mg,Tablet.FDC,Direct Drop,262,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Mylan,SCMS-43880,4/15/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,20/07/2009,Air,Adult,CIP,MYLAN,30661.5,448.866666667,26932,622.36,317528.28,11.79,60,0.2,3393
Generic,Vietnam,8/06/2009,8/06/2009,250mg,Delayed.release.capsules,Direct Drop,265,"Didanosine 250mg, delayed-release capsules, 30 Caps",Aurobindo,SCMS-44980,4/29/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,8/06/2009,Air,Adult,EXW,Aurobindo,4111.71,5,150,3.82,1950,13,30,0.43,30
Generic,Namibia,18/08/2009,18/08/2009,30/6mg,Chewable.tablet.FDC,Direct Drop,267,"Lamivudine/Stavudine 30/6mg, dispersible tablets, 60 Tabs",Cipla,SCMS-45620,5/8/2009,2009,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,18/08/2009,Air,Pediatric,EXW,CIPLA,1484.75,33.333333333,2000,7.45,3800,1.9,60,0.03,251
