,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Days to Deliver
2698,SCMS-244720,Dominican Republic,PMO - US,Direct Drop,DDP,Air,2014-06-13,6/23/2014,2014-01-14,2014-01-14,2014-02-07,ARV,Pediatric,"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)","Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle, 160 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,160,4570,148250.8,32.44,0.2,ABBVIE Labs North Chicago US,Yes,4306.83476898982,11462.107118413907,152.4,-150 days +00:00:00.000000000
2700,SCMS-68910,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,3/19/2010,2010-08-24,2010-08-24,2010-08-24,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,56877,265615.59,4.67,0.16,"Aurobindo Unit III, India",Yes,4815.0,5886.9,572.67,159 days 00:00:00.000000000
2702,SCMS-199283,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,8/27/2014,2014-08-27,2014-08-27,2014-08-27,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,14,389.56,27.83,0.46,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,0.48,412 days 00:00:00.000000000
2703,SCMS-274370,Vietnam,PMO - US,Direct Drop,EXW,Air,2015-01-28,2/17/2015,2015-07-13,2015-07-13,2015-07-14,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,17760,177600.0,10.0,0.33,Hetero Unit III Hyderabad IN,Yes,2516.0,3816.3,209.04,166 days 00:00:00.000000000
2704,SCMS-51780,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-08-12,8/14/2009,2009-10-26,2009-10-26,2009-10-26,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1680,13860.0,8.25,0.28,Mylan (formerly Matrix) Nashik,Yes,110.0,791.43,27.17,75 days 00:00:00.000000000
2705,SCMS-84420,Rwanda,PMO - US,Direct Drop,CIP,Air,2010-09-03,9/29/2010,2010-11-02,2010-11-02,2010-11-02,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,138422,1211192.5,8.75,0.29,Mylan (formerly Matrix) Nashik,Yes,13147.0,4781.8,2611.33,60 days 00:00:00.000000000
2707,SCMS-163880,Malawi,PMO - US,Direct Drop,EXW,Ocean,2012-10-17,10/31/2012,2013-06-21,2013-06-21,2013-06-21,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,243800,2801262.0,11.49,0.38,Mylan (formerly Matrix) Nashik,Yes,27549.0,24875.46,3465.16,247 days 00:00:00.000000000
2708,SCMS-53520,Mozambique,PMO - US,Direct Drop,CIP,Air,2009-09-02,9/24/2009,2010-03-19,2010-03-19,2010-03-19,ARV,Adult,INTERNATIONAL HEALTHCARE DISTRIBUTORS,"Ritonavir 100mg [Norvir], capsules, cool, 84 Caps",Ritonavir,Norvir,100mg,Capsule,84,520,5366.4,10.32,0.12,ABBVIE (Abbott) France,Yes,149.0,11462.107118413907,10.52,198 days 00:00:00.000000000
2709,SCMS-259072,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,1/26/2015,2015-01-26,2015-01-26,2015-01-26,ARV,Adult,PHARMACY DIRECT,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,132,1823.8,13.82,0.46,Mylan (formerly Matrix) Nashik,Yes,4306.83476898982,11462.107118413907,1.87,137 days 00:00:00.000000000
2710,SCMS-261510,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-09-24,11/14/2014,2015-03-13,2015-03-13,2015-03-18,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,25000,256000.0,10.24,0.34,Mylan (formerly Matrix) Nashik,Yes,3034.0,7658.27,263.17,170 days 00:00:00.000000000
2711,SCMS-246550,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,2014-06-03,7/31/2014,2014-11-03,2014-11-03,2014-11-07,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,500,15410.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,505.0,6523.85,15.84,153 days 00:00:00.000000000
2713,SCMS-249040,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-07-09,8/8/2014,2015-02-05,2015-02-05,2015-02-05,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,13000,105300.0,8.1,0.13,Mylan (formerly Matrix) Nashik,Yes,2672.0,2504.64,108.25,211 days 00:00:00.000000000
2714,SCMS-259074,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,3/9/2015,2015-03-09,2015-03-09,2015-03-09,ARV,Adult,PHARMACY DIRECT,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,139,1566.38,11.27,0.38,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,1.61,179 days 00:00:00.000000000
2717,SCMS-143480,Uganda,PMO - US,Direct Drop,DDP,Air,2012-03-15,4/17/2012,2012-05-21,2012-05-21,2012-05-21,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,121,9075.0,75.0,0.62,"Janssen-Cilag, Latina, IT",Yes,43.0,199.0,12.72,67 days 00:00:00.000000000
2719,SCMS-48290,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-06-25,6/29/2009,2009-09-30,2009-09-30,2009-09-30,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,21504,139776.0,6.5,0.22,Mylan (formerly Matrix) Nashik,Yes,1849.0,4191.83,273.96,97 days 00:00:00.000000000
2721,SCMS-219220,Mozambique,PMO - US,Direct Drop,EXW,Air,2013-12-11,12/17/2013,2014-05-02,2014-05-02,2014-05-07,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,35136,284952.96,8.11,0.14,Hetero Unit III Hyderabad IN,Yes,4784.0,19286.53,292.93,142 days 00:00:00.000000000
2723,SCMS-180940,Haiti,PMO - US,Direct Drop,EXW,Ocean,2013-02-07,3/22/2013,2013-09-02,2013-09-02,2013-09-02,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,1832,3847.2,2.1,0.01,"Aurobindo Unit III, India",Yes,3504.0,7117.39,4.76,207 days 00:00:00.000000000
2725,SCMS-145320,Vietnam,PMO - US,Direct Drop,FCA,Air,2012-04-11,6/15/2012,2012-10-03,2012-10-03,2012-10-03,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,100mg,Tablet,30,174,4047.24,23.26,0.78,ABBVIE Ludwigshafen Germany,Yes,21.0,583.66,5.67,175 days 00:00:00.000000000
2726,SCMS-249050,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-07-09,8/11/2014,2014-12-17,2014-12-17,2014-12-17,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,4000,14200.0,3.55,0.12,Hetero Unit III Hyderabad IN,Yes,4306.83476898982,11462.107118413907,14.6,161 days 00:00:00.000000000
2727,SCMS-254170,Nigeria,PMO - US,Direct Drop,EXW,Air,2014-08-13,8/29/2014,2015-08-05,2015-08-05,2015-08-10,ARV,Adult,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,4560,82080.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,4306.83476898982,11462.107118413907,84.38,357 days 00:00:00.000000000
2728,SCMS-234720,Zimbabwe,PMO - US,Direct Drop,EXW,Air,2014-04-01,5/8/2014,2014-06-14,2014-06-14,2014-06-16,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,32670,151915.5,4.65,0.16,"Aurobindo Unit VII, IN",Yes,3076.0,25730.13,156.17,74 days 00:00:00.000000000
2729,SCMS-50290,Rwanda,PMO - US,Direct Drop,CIP,Air,2009-07-16,8/31/2009,2010-04-16,2010-04-16,2010-04-16,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,62209,681188.55,10.95,0.36,Mylan (formerly Matrix) Nashik,Yes,5795.0,63600.4,1335.13,274 days 00:00:00.000000000
2730,SCMS-239810,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,2014-05-15,5/19/2014,2014-09-30,2014-09-30,2014-10-21,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,940,1175.0,1.25,0.04,"Aurobindo Unit III, India",Yes,132.0,2516.57,1.21,138 days 00:00:00.000000000
2731,SCMS-259078,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,10/9/2014,2015-07-24,2015-07-24,2015-07-24,ARV,Adult,PHARMACY DIRECT,"Darunavir 600mg [Prezista], tablets, 60 Tabs",Darunavir,Prezista,600mg,Tablet,60,33,1671.87,50.66,0.84,"Janssen-Cilag, Latina, IT",Yes,4306.83476898982,11462.107118413907,1.72,316 days 00:00:00.000000000
2733,SCMS-180960,Haiti,PMO - US,Direct Drop,EXW,Air,2013-02-07,3/22/2013,2013-08-14,2013-08-14,2013-08-14,ARV,Adult,MICRO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,14448,46667.04,3.23,0.11,"Micro labs, Verna, Goa, India",Yes,2284.0,13257.25,57.73,188 days 00:00:00.000000000
2734,SCMS-192080,Uganda,PMO - US,Direct Drop,CIP,Air,2013-05-17,7/3/2013,2013-11-20,2013-11-20,2013-11-21,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,108,3888.0,36.0,0.3,"Janssen-Cilag, Latina, IT",Yes,22.0,265.0,4.81,187 days 00:00:00.000000000
2736,SCMS-259071,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,11/28/2014,2014-11-28,2014-11-28,2014-11-28,ARV,Pediatric,PHARMACY DIRECT,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,16,272.7,17.04,0.19,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,0.28,78 days 00:00:00.000000000
2738,SCMS-200851,Tanzania,PMO - US,Direct Drop,EXW,Air,2013-07-15,10/8/2013,2014-03-22,2014-03-22,2014-03-22,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,5925,9243.0,1.56,0.05,"Aurobindo Unit III, India",Yes,394.0,3245.39,11.43,250 days 00:00:00.000000000
2739,SCMS-236050,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-04-08,4/30/2014,2014-10-30,2014-10-30,2014-11-04,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,9800,63602.0,6.49,0.11,Mylan (formerly Matrix) Nashik,Yes,2235.0,3708.72,65.38,205 days 00:00:00.000000000
2741,SCMS-68750,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,3/19/2010,2010-10-13,2011-01-25,2011-01-25,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,19992,156337.44,7.82,0.26,"Cipla, Goa, India",Yes,1378.0,3646.1,337.06,313 days 00:00:00.000000000
2742,SCMS-242720,Zambia,PMO - US,Direct Drop,EXW,Air,2014-05-21,6/4/2014,2014-12-01,2014-12-01,2014-12-10,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,10000,19900.0,1.99,0.03,"Mylan,  H-12 & H-13, India",Yes,849.0,4316.34,20.46,194 days 00:00:00.000000000
2744,SCMS-176300,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-01-29,2/6/2013,2013-07-01,2013-07-01,2013-07-01,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,9095,62300.75,6.85,0.11,Hetero Unit III Hyderabad IN,Yes,1736.0,8163.83,77.07,153 days 00:00:00.000000000
2746,SCMS-236070,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-04-08,4/30/2014,2014-11-07,2014-11-07,2014-11-08,ARV,Adult,MICRO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,7600,15808.0,2.08,0.03,"Micro labs, Verna, Goa, India",Yes,1292.0,2800.95,16.25,213 days 00:00:00.000000000
2747,SCMS-261060,Haiti,PMO - US,Direct Drop,EXW,Air,2014-09-24,11/14/2014,2015-02-12,2015-02-12,2015-02-13,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,50544,334095.84,6.61,0.11,"Hetero, Jadcherla, unit 5, IN",Yes,4669.0,34778.32,343.45,141 days 00:00:00.000000000
2748,SCMS-54980,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-10-08,10/15/2009,2009-10-19,2009-10-19,2009-10-19,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,100,3297.8,32.98,0.37,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,6.46,11 days 00:00:00.000000000
2749,SCMS-64580,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-02-02,2/3/2010,2010-03-30,2010-03-30,2010-03-30,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,3528,27342.0,7.75,0.26,"Aurobindo Unit III, India",Yes,395.0,3538.57,58.95,56 days 00:00:00.000000000
2754,SCMS-109830,Benin,PMO - US,Direct Drop,EXW,Air,2011-05-16,5/27/2011,2011-07-12,2011-07-12,2011-07-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,1244,17540.4,14.1,0.47,Mylan (formerly Matrix) Nashik,Yes,175.0,5864.56,28.94,57 days 00:00:00.000000000
2755,SCMS-215410,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-11-14,12/2/2013,2014-01-13,2014-01-13,2014-01-13,ARV,Adult,S. BUYS WHOLESALER,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,59,1653.14,28.02,0.47,"Cipla, Goa, India",Yes,4306.83476898982,11462.107118413907,1.7,60 days 00:00:00.000000000
2756,SCMS-123870,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2011-08-29,9/30/2011,2011-12-01,2011-12-01,2011-12-01,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir/Lamivudine/Zidovudine 300/150/300mg, tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Generic,300/150/300mg,Tablet - FDC,60,4000,112000.0,28.0,0.47,Mylan (formerly Matrix) Nashik,Yes,655.0,5300.24,184.8,94 days 00:00:00.000000000
2757,SCMS-176980,Rwanda,PMO - US,Direct Drop,FCA,Air,2013-02-03,2/6/2013,2013-05-17,2013-05-17,2013-05-17,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,400,12328.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,454.0,7152.99,15.25,103 days 00:00:00.000000000
2759,SCMS-215600,Mozambique,PMO - US,Direct Drop,EXW,Air,2013-11-12,11/26/2013,2014-04-09,2014-04-09,2014-07-08,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,800,6064.0,7.58,0.25,"Aurobindo Unit III, India",Yes,77.0,979.14,6.23,148 days 00:00:00.000000000
2760,SCMS-212350,Uganda,PMO - US,Direct Drop,EXW,Air,2013-10-23,10/30/2013,2014-03-21,2014-03-21,2014-03-21,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,7445,16676.8,2.24,0.04,"Cipla, Goa, India",Yes,574.0,3868.24,17.14,149 days 00:00:00.000000000
2761,SCMS-176190,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-01-29,2/5/2013,2013-05-24,2013-05-24,2013-05-24,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,263,486.55,1.85,0.01,"Aurobindo Unit III, India",Yes,182.0,5970.85,0.6,115 days 00:00:00.000000000
2762,SCMS-62830,Ethiopia,PMO - US,Direct Drop,EXW,Air,2010-01-05,1/13/2010,2010-03-04,2010-03-04,2010-03-04,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,56000,133280.0,2.38,0.04,"Aurobindo Unit III, India",Yes,2996.0,10612.93,287.35,58 days 00:00:00.000000000
2763,SCMS-156530,Tanzania,PMO - US,Direct Drop,EXW,Air,2012-07-26,8/9/2012,2012-11-01,2012-11-01,2012-11-01,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,100986,343352.4,3.4,0.11,Hetero Unit III Hyderabad IN,Yes,10579.0,41585.93,481.38,98 days 00:00:00.000000000
2766,SCMS-155700,Vietnam,PMO - US,Direct Drop,FCA,Air,2012-07-25,8/14/2012,2013-01-15,2013-01-15,2013-01-15,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,3812,231845.84,60.82,0.51,ABBVIE Ludwigshafen Germany,Yes,824.0,3216.15,325.05,174 days 00:00:00.000000000
2768,SCMS-48280,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-06-25,6/29/2009,2009-09-28,2009-09-28,2009-09-28,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3528,22932.0,6.5,0.22,Mylan (formerly Matrix) Nashik,Yes,383.0,1162.52,44.95,95 days 00:00:00.000000000
