Brand,Client.Delivery.Date,Country,Dosage,Dosage.Form,Fulfill.Via,INCO,Manufacture.Site,Molecule.Type,PO.Vendor.Date.Group,PO/SO#,PQ#,PQ.Client.Date.Group,Product.Group,Rec.Delivery.Data,Sch.Delivery.Date,Shipment.Mode,Sub.Classification,Vendor.Name,Freight.Cost,Item.Throuhput,Line.Item.Insurance,Line.Item.Qty,Line.Item.Value,Pack.Price,Unit.Measure.Per.Pack,Unit.Price,Weight.KG
Videx EC,9/2/2008,Tanzania,400mg,Delayed-release capsules - blister,Direct Drop,CIP,BMS,Didanosine EC,2008,SCMS-23610,Pre.PQ,Pre-PQ Process,ARV,9/2/2008,9/2/2008,Air,Adult,BRISTOL-MYERS,645.1,86.566666667,98.35,2597,61470.99,23.67,30,0.79,117
Generic,9/19/2008,Vietnam,150mg,Tablet,Direct Drop,EXW,Aurobindo,Lamivudine,2008,SCMS-26180,Pre.PQ,Pre-PQ Process,ARV,9/19/2008,9/19/2008,Air,Adult,Aurobindo,18614.72,644,148.38,38640,92736,2.4,60,0.04,2719
Coartem,9/9/2008,Nigeria,20/120mg,Tablet - FDC + blister,Direct Drop,EXW,Novartis,Artemether/Lumefantrine,2008,SCMS-26560,Pre.PQ,Pre-PQ Process,ACT,9/9/2008,2/25/2009,Air,ACT,IDA,1755.87,0.062962963,2.48,34,1547.68,45.52,540,0.08,115
Generic,10/8/2008,Vietnam,30mg,Capsule,Direct Drop,EXW,Aurobindo,Stavudine,2008,SCMS-26200,Pre.PQ,Pre-PQ Process,ARV,10/8/2008,10/8/2008,Air,Adult,Aurobindo,10179.16,700,97.44,42000,60900,1.45,60,0.02,2600
Generic,11/27/2008,Vietnam,600mg,Tablet,Direct Drop,EXW,Mylan,Efavirenz,2008,SCMS-27360,Pre.PQ,Pre-PQ Process,ARV,11/27/2008,11/27/2008,Air,Adult,MYLAN,4686.88,560,335.54,16800,171192,10.19,30,0.34,1224
Generic,1/23/2009,Côte d'Ivoire,50+153mg,Tablet - FDC + co-blister,Direct Drop,EXW,Ipca,Artesunate+Amodiaquine,2008,SCMS-29340,Pre.PQ,Pre-PQ Process,ACT,1/23/2009,1/23/2009,Air,ACT,IDA,12830.91,2083.333333333,19.11,25000,9750,0.39,12,0.03,1708
Atripla,4/21/2009,Tanzania,600/200/300mg,Tablet - FDC,Direct Drop,CIP,MSD,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,2008,SCMS-34680,Pre.PQ,Pre-PQ Process,ARV,4/21/2009,4/21/2009,Air,Adult,MERCK,9339,1666.666666667,4939.2,50000,2520000,50.4,30,1.68,4093
Generic,3/2/2009,Côte d'Ivoire,600mg/2ml,Injection,Direct Drop,EXW,Gland,Quinine (as dihydrochloride),2008,SCMS-35790,Pre.PQ,Pre-PQ Process,ANTM,3/2/2009,3/2/2009,Air,Malaria,IDA,25405.22,1.4,5.35,140,2731.4,19.51,100,0.2,5209
Generic,4/10/2009,Vietnam,150/300mg,Tablet - FDC,Direct Drop,EXW,Aurobindo,Lamivudine/Zidovudine,2009,SCMS-37170,Pre.PQ,Pre-PQ Process,ARV,4/10/2009,4/10/2009,Air,Adult,Aurobindo,12835.2,99.4,100.65,5964,51350.04,8.61,60,0.14,3509
Generic,3/23/2009,Vietnam,150/200/30mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Nevirapine/Stavudine,2009,SCMS-37180,Pre.PQ,Pre-PQ Process,ARV,3/23/2009,3/23/2009,Air,Adult,CIPLA,4225.93,176,142.81,10560,72864,6.9,60,0.12,924
Generic,3/16/2009,Vietnam,150/300mg,Tablet - FDC,Direct Drop,EXW,Aurobindo,Lamivudine/Zidovudine,2008,SCMS-31721,Pre.PQ,Pre-PQ Process,ARV,3/16/2009,3/16/2009,Air,Adult,Aurobindo,892.5,39.2,39.69,2352,20250.72,8.61,60,0.14,211
Kaletra,5/28/2009,Tanzania,80/20mg/ml,Oral solution,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2009,SCMS-38370,Pre.PQ,Pre-PQ Process,ARV,5/28/2009,5/28/2009,Air,Pediatric,ABBVIE,6668.61,1.746666667,42.21,524,21536.4,41.1,300,0.14,644
Videx EC,9/30/2009,Nigeria,400mg,Delayed-release capsules - blister,Direct Drop,CIP,BMS,Didanosine EC,2009,SCMS-39640,Pre.PQ,Pre-PQ Process,ARV,9/30/2009,9/30/2009,Air,Adult,BRISTOL-MYERS,463,6.666666667,9.28,200,4734,23.67,30,0.79,11
Videx,3/31/2009,Haiti,50mg,Chewable/dispersible tablet,Direct Drop,CIP,BMS,Didanosine,2009,SCMS-40000,Pre.PQ,Pre-PQ Process,ARV,3/31/2009,3/31/2009,Air,Pediatric,BRISTOL-MYERS,260,1.333333333,1.49,80,760,9.5,60,0.16,43
Generic,4/15/2009,Haiti,100/25mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2009,SCMS-40030,Pre.PQ,Pre-PQ Process,ARV,4/15/2009,4/15/2009,Air,Pediatric,ABBVIE,893.22,0.766666667,0.93,46,472.88,10.28,60,0.17,10
Aluvia,6/30/2009,Côte d'Ivoire,200/50mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2009,SCMS-42210,Pre.PQ,Pre-PQ Process,ARV,6/30/2009,6/30/2009,Air,Adult,ABBVIE,14806.48,85.333333333,824.89,10240,420864,41.1,120,0.34,2523
Norvir,7/22/2009,Côte d'Ivoire,100mg,Capsule,Direct Drop,FCA,ABBVIE,Ritonavir,2009,SCMS-42230,Pre.PQ,Pre-PQ Process,ARV,7/22/2009,7/22/2009,Air,Adult,ABBVIE,7642.97,1.190476190,30.07,400,15344,38.36,336,0.11,175
Generic,7/25/2009,Rwanda,600mg,Tablet,Direct Drop,CIP,Hetero,Efavirenz,2009,SCMS-43890,Pre.PQ,Pre-PQ Process,ARV,7/25/2009,7/25/2009,Air,Adult,HETERO,37404.74,1845.2,757.31,55356,386384.88,6.98,30,0.23,4482
Norvir,7/17/2009,Vietnam,100mg,Capsule,Direct Drop,FCA,ABBVIE,Ritonavir,2009,SCMS-44990,Pre.PQ,Pre-PQ Process,ARV,7/17/2009,7/17/2009,Air,Adult,ABBVIE,3366.04,0.023809524,1.2,8,613.76,76.72,336,0.23,48
Generic,7/10/2009,Vietnam,150/300/200mg,Tablet - FDC,Direct Drop,EXW,Aurobindo,Lamivudine/Nevirapine/Zidovudine,2009,SCMS-45080,Pre.PQ,Pre-PQ Process,ARV,7/10/2009,7/10/2009,Air,Adult,Aurobindo,6341.88,58.333333333,76.49,3500,39025,11.15,60,0.19,1804
Videx,7/28/2009,Vietnam,25mg,Chewable/dispersible tablet,Direct Drop,CIP,BMS,Didanosine,2009,SCMS-46550,Pre.PQ,Pre-PQ Process,ARV,7/28/2009,7/28/2009,Air,Pediatric,BRISTOL-MYERS,14.36,6.666666667,5.49,400,2800,7,60,0.12,148
Generic,3/14/2007,Vietnam,150/300mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Zidovudine,2006,SCMS-169,Pre.PQ,Pre-PQ Process,ARV,3/14/2007,3/14/2007,Air,Adult,CIPLA,18772.94,418.333333333,45.57,25100,276100,11,60,0.18,2575
Generic,3/14/2007,Vietnam,30mg,Capsule,Direct Drop,EXW,Strides,Stavudine,2006,SCMS-170,Pre.PQ,Pre-PQ Process,ARV,3/14/2007,3/14/2007,Air,Adult,STRIDES,42453.21,1591.666666667,45.57,95500,144205,1.51,60,0.03,9170
Generic,5/12/2007,Vietnam,150/200/30mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Nevirapine/Stavudine,2007,SCMS-262,Pre.PQ,Pre-PQ Process,ARV,5/12/2007,5/12/2007,Air,Adult,CIPLA,31858.09,1166.666666667,45.57,70000,525000,7.5,60,0.12,6813
Generic,8/24/2007,Vietnam,150/200/30mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Nevirapine/Stavudine,2007,SCMS-314,Pre.PQ,Pre-PQ Process,ARV,8/24/2007,8/24/2007,Air,Adult,CIPLA,21439.59,416.666666667,300,25000,187500,7.5,60,0.12,2348
Generic,10/2/2007,Vietnam,10mg/ml,Oral suspension,Direct Drop,EXW,Aurobindo,Nevirapine,2007,SCMS-749,Pre.PQ,Pre-PQ Process,ARV,10/2/2007,10/2/2007,Air,Pediatric,Aurobindo,13762.41,4.166666667,3.07,1000,1920,1.92,240,0.01,960
Generic,10/15/2007,Vietnam,150/300/200mg,Tablet - FDC,Direct Drop,EXW,Aurobindo,Lamivudine/Nevirapine/Zidovudine,2007,SCMS-753,Pre.PQ,Pre-PQ Process,ARV,10/15/2007,10/15/2007,Air,Adult,Aurobindo,4454.62,50,64.8,3000,40500,13.5,60,0.22,332
Generic,11/23/2007,Vietnam,600mg,Tablet,Direct Drop,EXW,Aurobindo,Efavirenz,2007,SCMS-754,Pre.PQ,Pre-PQ Process,ARV,11/23/2007,11/23/2007,Air,Adult,Aurobindo,16095.39,750,443.88,22500,277425,12.33,30,0.41,1955
Aluvia,8/27/2007,Vietnam,200/50mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2007,SCMS-757,Pre.PQ,Pre-PQ Process,ARV,8/27/2007,8/27/2007,Air,Adult,ABBVIE,1767.38,4.166666667,65.75,500,41095,82.19,120,0.68,117
Viread,1/28/2008,Rwanda,300mg,Tablet,Direct Drop,EXW,Aspen,Tenofovir Disoproxil Fumarate,2007,SCMS-13900,Pre.PQ,Pre-PQ Process,ARV,1/28/2008,1/28/2008,Air,Adult,ASPEN,7922.24,53.633333333,43.76,1609,27353,17,30,0.57,157
Norvir,3/28/2008,Vietnam,100mg,Capsule,Direct Drop,FCA,ABBVIE,Ritonavir,2007,SCMS-14170,Pre.PQ,Pre-PQ Process,ARV,3/28/2008,3/28/2008,Air,Adult,ABBVIE,2535.4,0.297619048,29.33,100,18333,183.33,336,0.55,337
Generic,1/28/2008,Rwanda,300mg,Tablet,Direct Drop,CIP,Mylan,Abacavir,2007,SCMS-14750,Pre.PQ,Pre-PQ Process,ARV,1/28/2008,1/28/2008,Air,Adult,MYLAN,1511.25,18.316666667,48.36,1099,30222.5,27.5,60,0.46,113
Generic,2/1/2008,Vietnam,20mg,Capsule,Direct Drop,EXW,Aurobindo,Stavudine,2007,SCMS-14760,Pre.PQ,Pre-PQ Process,ARV,2/1/2008,2/1/2008,Air,Adult,Aurobindo,2429.85,20,3.36,1200,2100,1.75,60,0.03,125
Generic,6/20/2008,Vietnam,150mg,Tablet,Direct Drop,EXW,Aurobindo,Lamivudine,2008,SCMS-20180,Pre.PQ,Pre-PQ Process,ARV,6/20/2008,7/7/2008,Air,Adult,Aurobindo,4159.45,168,46.77,10080,29232,2.9,60,0.05,507
Generic,6/1/2008,Vietnam,600mg,Tablet,Direct Drop,EXW,Mylan,Efavirenz,2008,SCMS-20340,Pre.PQ,Pre-PQ Process,ARV,6/1/2008,6/1/2008,Air,Adult,MYLAN,3796.05,224,123.43,6720,77145.6,11.48,30,0.38,522
Videx,10/3/2008,Vietnam,25mg,Chewable/dispersible tablet,Direct Drop,CIP,BMS,Didanosine,2008,SCMS-23370,Pre.PQ,Pre-PQ Process,ARV,10/3/2008,10/3/2008,Air,Pediatric,BRISTOL-MYERS,3013.09,6.666666667,4.48,400,2800,7,60,0.12,81
Generic,8/19/2008,Vietnam,30mg,Capsule,Direct Drop,EXW,Strides,Stavudine,2008,SCMS-23470,Pre.PQ,Pre-PQ Process,ARV,8/19/2008,8/19/2008,Air,Adult,STRIDES,7575.6,179.666666667,25.01,10780,15631,1.45,60,0.02,502
Generic,7/22/2008,Rwanda,150/300/200mg,Tablet - FDC,Direct Drop,CIP,Aurobindo,Lamivudine/Nevirapine/Zidovudine,2008,SCMS-25520,Pre.PQ,Pre-PQ Process,ARV,7/22/2008,7/23/2008,Air,Adult,Aurobindo,30408.04,797.983333333,910.85,47879,569281.31,11.89,60,0.2,5311
Generic,7/23/2008,Rwanda,150/300/200mg,Tablet - FDC,Direct Drop,CIP,Aurobindo,Lamivudine/Nevirapine/Zidovudine,2008,SCMS-25520,Pre.PQ,Pre-PQ Process,ARV,7/23/2008,7/23/2008,Air,Adult,Aurobindo,38120.96,1017.016666667,1160.86,61021,725539.69,11.89,60,0.2,6768
Generic,10/3/2008,Vietnam,30mg,Capsule,Direct Drop,EXW,Aurobindo,Stavudine,2008,SCMS-26190,Pre.PQ,Pre-PQ Process,ARV,10/3/2008,10/3/2008,Air,Adult,Aurobindo,5822.44,300.5,41.83,18030,26143.5,1.45,60,0.02,1114
Aluvia,12/2/2008,Vietnam,200/50mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2008,SCMS-27290,Pre.PQ,Pre-PQ Process,ARV,12/2/2008,12/2/2008,Air,Adult,ABBVIE,2709.98,3.616666667,69.92,434,35674.8,82.2,120,0.68,113
Generic,11/24/2008,Vietnam,150/300/200mg,Tablet - FDC,Direct Drop,EXW,Aurobindo,Lamivudine/Nevirapine/Zidovudine,2008,SCMS-27310,Pre.PQ,Pre-PQ Process,ARV,11/24/2008,11/24/2008,Air,Adult,Aurobindo,2568.6,18.333333333,24.58,1100,12540,11.4,60,0.19,159
Generic,11/25/2008,Vietnam,600mg,Tablet,Direct Drop,EXW,Mylan,Efavirenz,2008,SCMS-27350,Pre.PQ,Pre-PQ Process,ARV,11/25/2008,11/25/2008,Air,Adult,MYLAN,3247.73,280,167.77,8400,85596,10.19,30,0.34,613
Generic,12/3/2008,Vietnam,150/200/30mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Nevirapine/Stavudine,2008,SCMS-27380,Pre.PQ,Pre-PQ Process,ARV,12/3/2008,12/3/2008,Air,Adult,CIPLA,2335.19,60.8,51.84,3648,26448,7.25,60,0.12,323
Generic,11/27/2008,Vietnam,200mg,Tablet,Direct Drop,EXW,Aurobindo,Nevirapine,2008,SCMS-33070,Pre.PQ,Pre-PQ Process,ARV,11/27/2008,11/27/2008,Air,Adult,Aurobindo,2653.27,100,34.1,6000,17400,2.9,60,0.05,581
Generic,4/7/2009,Vietnam,150mg,Tablet,Direct Drop,EXW,Aurobindo,Lamivudine,2009,SCMS-37160,Pre.PQ,Pre-PQ Process,ARV,4/7/2009,4/7/2009,Air,Adult,Aurobindo,9809.7,150,42.34,9000,21600,2.4,60,0.04,2228
Atripla,4/8/2009,Nigeria,600/200/300mg,Tablet - FDC,Direct Drop,CIP,MSD,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,2009,SCMS-37370,Pre.PQ,Pre-PQ Process,ARV,4/8/2009,4/8/2009,Air,Adult,MERCK,7933.38,833.333333333,2469.6,25000,1260000,50.4,30,1.68,2067
Generic,4/2/2009,Haiti,100mg,Capsule,Direct Drop,EXW,Aurobindo,Zidovudine,2009,SCMS-39970,Pre.PQ,Pre-PQ Process,ARV,4/2/2009,4/2/2009,Air,Pediatric,Aurobindo,1903.54,21,20.58,2100,10500,5,100,0.05,187
Videx EC,5/4/2009,Uganda,250mg,Delayed-release capsules - blister,Direct Drop,CIP,BMS,Didanosine EC,2009,SCMS-41240,Pre.PQ,Pre-PQ Process,ARV,5/4/2009,5/4/2009,Air,Adult,BRISTOL-MYERS,428.91,2,2.16,60,1100.4,18.34,30,0.61,3000
Generic,4/20/2009,Rwanda,150/300mg,Tablet - FDC,Direct Drop,CIP,Cipla,Lamivudine/Zidovudine,2008,SCMS-30312,Pre.PQ,Pre-PQ Process,ARV,4/20/2009,4/20/2009,Air,Adult,CIPLA,853.88,130.666666667,139.83,7840,71344,9.1,60,0.15,719
Aluvia,5/20/2009,Nigeria,200/50mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2009,SCMS-42830,Pre.PQ,Pre-PQ Process,ARV,5/20/2009,5/20/2009,Air,Adult,ABBVIE,1332.43,0.608333333,5.88,73,3000.3,41.1,120,0.34,69
Aluvia,7/14/2009,Nigeria,200/50mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2009,SCMS-36892,Pre.PQ,Pre-PQ Process,ARV,7/14/2009,7/14/2009,Air,Adult,ABBVIE,3777.93,17,164.33,2040,83844,41.1,120,0.34,309
Generic,7/20/2009,Rwanda,150/300/200mg,Tablet - FDC,Direct Drop,CIP,Mylan,Lamivudine/Nevirapine/Zidovudine,2009,SCMS-43880,Pre.PQ,Pre-PQ Process,ARV,7/20/2009,7/20/2009,Air,Adult,MYLAN,30661.5,448.866666667,622.36,26932,317528.28,11.79,60,0.2,3393
Generic,6/8/2009,Vietnam,250mg,Delayed-release capsules,Direct Drop,EXW,Aurobindo,Didanosine,2009,SCMS-44980,Pre.PQ,Pre-PQ Process,ARV,6/8/2009,6/8/2009,Air,Adult,Aurobindo,4111.71,5,3.82,150,1950,13,30,0.43,30
Generic,8/18/2009,Namibia,30/6mg,Chewable/dispersible tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Stavudine,2009,SCMS-45620,Pre.PQ,Pre-PQ Process,ARV,8/18/2009,8/18/2009,Air,Pediatric,CIPLA,1484.75,33.333333333,7.45,2000,3800,1.9,60,0.03,251
Aluvia,8/7/2009,Guyana,200/50mg,Tablet,Direct Drop,CIP,ABBVIE,Lopinavir/Ritonavir,2009,SCMS-48690,Pre.PQ,Pre-PQ Process,ARV,8/7/2009,8/7/2009,Air,Adult,ABBOTT,314,22.775,440.27,2733,224625.27,82.19,120,0.68,589
Generic,3/14/2007,Vietnam,10mg/ml,Oral solution,Direct Drop,EXW,Aurobindo,Zidovudine,2006,SCMS-168,Pre.PQ,Pre-PQ Process,ARV,3/14/2007,3/14/2007,Air,Pediatric,Aurobindo,25124.12,4.166666667,45.57,1000,5050,5.05,240,0.02,3822
Generic,7/9/2007,Vietnam,150/200/30mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Nevirapine/Stavudine,2007,SCMS-313,Pre.PQ,Pre-PQ Process,ARV,7/9/2007,7/9/2007,Air,Adult,CIPLA,21150.56,416.666666667,300,25000,187500,7.5,60,0.12,2336
Generic,10/2/2007,Vietnam,600mg,Tablet,Direct Drop,EXW,Aurobindo,Efavirenz,2007,SCMS-749,Pre.PQ,Pre-PQ Process,ARV,10/2/2007,10/2/2007,Air,Adult,Aurobindo,18045.24,750,443.88,22500,277425,12.33,30,0.41,2895
Videx,11/8/2007,Vietnam,25mg,Chewable/dispersible tablet,Direct Drop,CIP,BMS,Didanosine,2007,SCMS-752,Pre.PQ,Pre-PQ Process,ARV,11/8/2007,11/8/2007,Air,Pediatric,BRISTOL-MYERS,2514.05,13.333333333,8.96,800,5600,7,60,0.12,161
Kaletra,9/10/2007,Vietnam,80/20mg/ml,Oral solution,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2007,SCMS-10060,Pre.PQ,Pre-PQ Process,ARV,9/10/2007,9/10/2007,Air,Pediatric,ABBVIE,2326.1,0.666666667,26.3,200,16440,82.2,300,0.27,340
Generic,12/24/2007,Ethiopia,30mg,Capsule,Direct Drop,EXW,Aurobindo,Stavudine,2007,SCMS-11071,Pre.PQ,Pre-PQ Process,ARV,12/24/2007,11/20/2007,Air,Adult,Aurobindo,6755.81,584.416666667,86.96,35065,54350.75,1.55,60,0.03,2318
Generic,1/22/2008,Vietnam,15mg,Capsule,Direct Drop,EXW,Aurobindo,Stavudine,2007,SCMS-14930,Pre.PQ,Pre-PQ Process,ARV,1/22/2008,1/22/2008,Air,Adult,Aurobindo,2426.05,6.666666667,0.96,400,600,1.5,60,0.02,83
Generic,7/7/2008,Vietnam,300mg,Tablet,Direct Drop,EXW,Aurobindo,Abacavir,2008,SCMS-20181,Pre.PQ,Pre-PQ Process,ARV,7/7/2008,7/7/2008,Air,Adult,Aurobindo,5260.46,8.666666667,20.8,520,13000,25,60,0.42,137
Generic,6/17/2008,Vietnam,30mg,Capsule,Direct Drop,EXW,Strides,Stavudine,2008,SCMS-20430,Pre.PQ,Pre-PQ Process,ARV,6/17/2008,6/17/2008,Air,Adult,STRIDES,2789.74,42.933333333,6.22,2576,3889.76,1.51,60,0.03,121
Generic,6/20/2008,Vietnam,30mg,Capsule,Direct Drop,EXW,Strides,Stavudine,2008,SCMS-20450,Pre.PQ,Pre-PQ Process,ARV,6/20/2008,6/20/2008,Air,Adult,STRIDES,2879.96,41.066666667,5.95,2464,3720.64,1.51,60,0.03,114
Generic,9/20/2008,Vietnam,300mg,Tablet,Direct Drop,EXW,Mylan,Tenofovir Disoproxil Fumarate,2008,SCMS-26380,Pre.PQ,Pre-PQ Process,ARV,9/20/2008,9/20/2008,Air,Adult,MYLAN,5921.97,67.2,39.87,2016,24917.76,12.36,30,0.41,120
Videx EC,9/9/2008,Uganda,400mg,Delayed-release capsules - blister,Direct Drop,CIP,BMS,Didanosine EC,2008,SCMS-27190,Pre.PQ,Pre-PQ Process,ARV,9/9/2008,9/9/2008,Air,Adult,BRISTOL-MYERS,330,1.666666667,1.89,50,1183.5,23.67,30,0.79,2
Generic,11/29/2008,Vietnam,150/200/30mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Nevirapine/Stavudine,2008,SCMS-27370,Pre.PQ,Pre-PQ Process,ARV,11/29/2008,11/29/2008,Air,Adult,CIPLA,2147.61,24,20.46,1440,10440,7.25,60,0.12,128
Atripla,10/10/2008,Nigeria,600/200/300mg,Tablet - FDC,Direct Drop,CIP,MSD,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,2008,SCMS-26482,Pre.PQ,Pre-PQ Process,ARV,10/10/2008,10/10/2008,Air,Adult,MERCK,1727.2,196.666666667,475.78,5900,297360,50.4,30,1.68,493
Generic,2/23/2009,Vietnam,150mg,Tablet,Direct Drop,EXW,Aurobindo,Lamivudine,2008,SCMS-31730,Pre.PQ,Pre-PQ Process,ARV,2/23/2009,2/23/2009,Air,Adult,Aurobindo,3854.23,102.6,28.96,6156,14774.4,2.4,60,0.04,1044
Videx EC,12/9/2008,Uganda,250mg,Delayed-release capsules - blister,Direct Drop,CIP,BMS,Didanosine EC,2008,SCMS-32250,Pre.PQ,Pre-PQ Process,ARV,12/9/2008,12/9/2008,Air,Adult,BRISTOL-MYERS,378,1.666666667,1.8,50,917,18.34,30,0.61,2
Generic,4/11/2009,Vietnam,300mg,Tablet,Direct Drop,EXW,Mylan,Zidovudine,2009,SCMS-37210,Pre.PQ,Pre-PQ Process,ARV,4/11/2009,4/11/2009,Air,Adult,MYLAN,2525.73,5.6,4.94,336,2520,7.5,60,0.12,18
Aluvia,4/15/2009,Haiti,200/50mg,Tablet,Direct Drop,FCA,ABBVIE,Lopinavir/Ritonavir,2009,SCMS-40030,Pre.PQ,Pre-PQ Process,ARV,4/15/2009,4/15/2009,Air,Adult,ABBVIE,2490.67,12.25,118.42,1470,60417,41.1,120,0.34,362
Generic,9/21/2009,Rwanda,150/300/200mg,Tablet - FDC,Direct Drop,CIP,Mylan,Lamivudine/Nevirapine/Zidovudine,2009,SCMS-43870,Pre.PQ,Pre-PQ Process,ARV,9/21/2009,9/21/2009,Air,Adult,MYLAN,61925.7,907.2,1257.84,54432,641753.28,11.79,60,0.2,7278
Generic,7/21/2009,Vietnam,150/200/30mg,Tablet - FDC,Direct Drop,EXW,Cipla,Lamivudine/Nevirapine/Stavudine,2009,SCMS-45000,Pre.PQ,Pre-PQ Process,ARV,7/21/2009,7/21/2009,Air,Adult,CIPLA,10048.1,593.6,471.2,35616,240408,6.75,60,0.11,3479
Generic,8/3/2009,Vietnam,600mg,Tablet,Direct Drop,EXW,Mylan,Efavirenz,2009,SCMS-45020,Pre.PQ,Pre-PQ Process,ARV,8/3/2009,8/3/2009,Air,Adult,MYLAN,4453.71,218.4,83.47,6552,42588,6.5,30,0.22,524
Generic,7/10/2009,Vietnam,30mg,Capsule,Direct Drop,EXW,Aurobindo,Stavudine,2009,SCMS-45070,Pre.PQ,Pre-PQ Process,ARV,7/10/2009,7/10/2009,Air,Adult,Aurobindo,9931.49,266,45.36,15960,23142,1.45,60,0.02,1815
